dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t2,kB8,p8192,ms100,ms60,ms180,t8,kB100,p16384,ms200,ms100,ms180,6992fd1dbcde57f4de5aeaf179115ec5201fb70374f0c7207873d3cf13c666de
t16,kB8,p8192,ms2000,ms80,ms200,t16,kB25,p57344,ms50,ms2000,ms60,fa859c2055ea3f720b52479260cfd0a4c983cb7f432697791534e04632d97f91
t6,kB8,p32,ms150,ms150,ms200,t2,kB500,p16,ms50,ms2000,ms5,debdff88773853b7855072a796a12b30c80511737a9a40588bcd133ba0a6c108
t32,kB100,p40960,ms200,ms500,ms80,t2,mB30,p16,ms150,ms1200,ms40,e2d9d46a0083efb1a2ad347f89c22df6ec89dc43d67228f9248edc1a541ba9a4
t3,mB16,p32,ms350,ms2000,ms80,t2,mB25,p4096,ms400,ms200,ms120,4c794f41dc82eff8df0c8cadb1dc5bc8fc7b94f75869a1795f73f8551e4c765e
t16,mB16,p32768,ms800,ms60,ms80,t2,mB20,p57344,ms150,ms80,ms120,fcac4a9406e5795d07f7a1170a8efb49590135584d83f7b07fc7b1a84d16db1b
t4,kB500,p40960,ms350,ms40,ms80,t6,kB25,p128,ms50,ms150,ms140,a664a9cba5b2391ddbc375605d647c6a62eae38bca77776e35d7972b334fb002
t8,kB8,p32768,ms1000,ms40,ms200,t32,mB8,p128,ms50,ms100,ms20,edda5a4018264da7a8667b047a85ab37bd190f8ba385171d4a89a63a94f00fe8
t6,kB500,p49152,ms1000,ms500,ms200,t4,kB1000,p40960,ms150,ms40,ms200,287e1d6b2fc998bee348c58807c2fe9141a32573c4e168d1ad2a0ce6a3da040b
t32,mB30,p40960,ms200,ms20,ms170,t32,mB16,p512,ms200,ms150,ms180,252954394f9840cd9bd213df87f48aaeecdaeee1502f610d563daec9ff94def0
t16,mB40,p32,ms500,ms20,ms80,t8,mB25,p32768,ms400,ms150,ms180,fd4e6620dbb8594e1319525619db8eb96979f0e55b7959af2a0c2b0f9e4a87bb
t32,kB8,p128,ms500,ms20,ms100,t3,kB500,p32768,ms1000,ms20,ms60,a6f20a1e5a0032a67913f6e90289d7905edacddebb0b55bcbf6e7c080eab0e3e
t6,kB1000,p128,ms500,ms1200,ms160,t2,mB25,p32,ms350,ms100,ms80,ff12f411823c752965cf9f9692eaa9e96416fd1438c876ea1228d6ece5266228
t2,mB25,p128,ms250,ms500,ms120,t4,mB20,p512,ms4000,ms800,ms80,380b9291bf3983782cdf709c2e4a6de25969078a185b83006eea349b73a83047
t2,mB30,p4096,ms250,ms60,ms80,t4,mB20,p32,ms800,ms2000,ms200,1972b20432ae00168fb96a8a16d6733ba6e8933be0e579e8db7bdb5a421d7fdb
t2,kB100,p8192,ms300,ms40,ms40,t4,mB8,p128,ms200,ms60,ms100,8d4b9dc18faeca7c0f0c6ec4d12f68250ac4a053be325d6edcf4c0cc0a414179
t2,mB25,p65536,ms800,ms200,ms180,t32,mB8,p4096,ms300,ms500,ms120,fec55dbd6fba2487e842b2bbf5d3e41bc74947ce8dbbeee3d517441aa597e318
t16,mB25,p65536,ms150,ms80,ms5,t6,mB25,p40960,ms300,ms20,ms100,73b57ebd3ec2d2d604f817722dd784ad672410b8d8661779528c18afa3f15388
t32,kB25,p32,ms150,ms40,ms170,t16,mB30,p32768,ms50,ms1200,ms20,bf04c48c9e584ad5ffe8caae050748cb31d473de1a948543de8d6a9b34626a01
t32,kB8,p16384,ms200,ms40,ms40,t4,kB100,p16,ms400,ms2400,ms20,ea95439e547eb135626b6f7dd1f8209c7aaab678cf14ef5914c2220435b32093
t4,kB1000,p57344,ms50,ms500,ms100,t32,kB25,p4096,ms500,ms80,ms20,9d03cff0bce15c225ae299f4b2d517fad02c1b4ab2066749b580ca6d00348991
t32,mB20,p128,ms400,ms1200,ms5,t32,kB8,p65536,ms500,ms100,ms10,37e1395534119c6bd2c8f35c8d1d4a0a202d1f574e79093623730b9f546a4e09
t32,mB16,p128,ms500,ms100,ms40,t32,kB8,p40960,ms250,ms100,ms180,fcd40cbce0c88919c263ecf75bbc958646e65ce508608621ad22a57b5e359b90
t32,mB30,p49152,ms350,ms40,ms40,t8,kB8,p4096,ms150,ms800,ms60,19fbcf2793800d3577bad3c68dcccd7e4e15b83d192aafb186b8d9db05aef952
t8,mB25,p4096,ms4000,ms60,ms160,t3,kB6000,p57344,ms2000,ms1200,ms200,aeced67bd489b75a0abf99b5807fbcc66f61bca54c064deddc5bc2b475d92690
t8,kB1000,p16,ms400,ms100,ms180,t8,kB500,p65536,ms300,ms60,ms20,6167369302d5f0f5c44a162fa7661adc6f2101c7142150eb08bf4748ae90ef4b
t2,mB40,p65536,ms1000,ms100,ms5,t4,kB100,p65536,ms50,ms80,ms60,c4082714e31cde3b6d601b959def1dfe612c05bebda7d347718eb54b7890b234
t3,mB40,p16384,ms1000,ms150,ms160,t3,mB30,p65536,ms100,ms60,ms140,bbfb04fa5bd2fe3e7ef8bcbc72ee5cb5043ce667f896ab993f4dcc31ff108b17
t8,mB25,p512,ms800,ms500,ms20,t3,kB8,p128,ms1000,ms100,ms40,b1fa74d3c95d0e3184b539f628d37b63ca5adcba9cb3b6c2596c4652e5e8d23a
t8,mB16,p4096,ms2000,ms500,ms5,t16,kB500,p32,ms500,ms1200,ms20,d6a4b85d01ff5f8b17fea15fb09b39f388f4dadb91c530cf3fe59801e8a94941
t3,kB6000,p32,ms4000,ms300,ms80,t16,kB500,p32,ms500,ms60,ms20,83b6fcffdcdec5863561ca6fabef3111a130211d939314d345d23afe8dc32448
t8,kB500,p32,ms300,ms500,ms5,t3,kB6000,p49152,ms50,ms150,ms20,8bd19ce55ddbde8a1539635bae6c2f88d5e99f9b2902e4c21a9de2f97f1fbff7
t6,mB25,p57344,ms2000,ms60,ms5,t8,kB6000,p57344,ms150,ms150,ms20,5025de987efd8970d063b73563bd2f618f5e6aa3fa2ce7e353450aa59e6c7605
t6,kB8,p128,ms2000,ms300,ms140,t32,kB8,p49152,ms1000,ms20,ms10,5efe93d544497111b14282b0166a5f49490ff421765b83e00544e33141a131cf
t6,mB30,p65536,ms1000,ms1200,ms200,t8,kB8,p16,ms300,ms150,ms170,cc13de4e5ce58f96657f1479d2c1f3188daf23a84bca3271a3849ca4170a5047
t32,mB30,p65536,ms1000,ms800,ms20,t32,kB1000,p16,ms50,ms500,ms140,814d909c7024b70a36435c1a9085bf203187799dabb0ada43335d5555d7bb592
t2,kB1000,p32768,ms100,ms40,ms20,t16,kB25,p49152,ms200,ms2400,ms60,2205c9eefcc23c4388273dcbd76a739eb450b59f6fd74576c2402ad9c112597c
t6,kB25,p57344,ms300,ms300,ms180,t8,mB8,p32,ms250,ms200,ms170,eda2d713a4fbf175c74e3f8d2b56c947ead76a9d58c56782c48b852682761e9e
t4,kB1000,p8192,ms2000,ms200,ms5,t16,kB1000,p57344,ms350,ms2000,ms160,9cb20cbf41f049c30a38d714850551d2c3057df13c80be68e780e7baf0e60d13
t4,kB500,p16384,ms150,ms200,ms20,t2,kB100,p65536,ms250,ms2400,ms5,5b9a0d04638e5b9b0b7b6a601365822c2889f2f50bc63e813c9d8bc84c259821
t3,kB500,p4096,ms800,ms800,ms120,t32,mB30,p57344,ms150,ms60,ms120,a3dae587533dd95d3af9ab27f6ed8b87e8ea628daa18ff5acc7411f2d04daf07
t16,kB1000,p40960,ms300,ms2000,ms180,t16,mB20,p49152,ms100,ms20,ms10,2bfdd4fa4ca67c2ab66137fdc4388c8e26c78c032884688a77d7b4f04bbd3468
t32,kB6000,p40960,ms1000,ms500,ms170,t16,mB16,p32768,ms500,ms20,ms170,19756fa719726f0fea835b7d8da62693410edcf04c53685c64f2646c38d452ad
t4,mB16,p49152,ms300,ms100,ms180,t2,mB25,p49152,ms250,ms100,ms200,ae97c9e4fd9c2c86981c02a68cdcf76779d2d137801b9d446ab2201cd5975c2e
t16,mB25,p8192,ms2000,ms40,ms200,t6,kB25,p8192,ms250,ms150,ms200,b79e5f5cacac7ca277c5915d91c05c746cb80465317d421df6e2c32bf1be07a9
t2,kB25,p57344,ms4000,ms200,ms140,t8,kB6000,p32768,ms250,ms150,ms170,da662a5db5d839fc40d908f5e80d018043a7fdd5a23390f562715996403d7ece
t3,mB30,p16,ms100,ms100,ms40,t3,mB30,p57344,ms300,ms2400,ms60,4c7c08e60a4c6c2f2d421b1027d9bf696b220595482d837be5bd986c11c2c65c
t2,kB8,p128,ms400,ms300,ms60,t4,kB500,p8192,ms800,ms300,ms5,054c7f4fd9c545969ab1207e5082707f93fbbecd3eac0648833c6cc7d46f175a
t4,mB40,p65536,ms50,ms100,ms10,t4,mB25,p4096,ms1000,ms300,ms180,21ae720326fe64d352c654a3123dc1c12ee708849bdf67f7584336e67bededf2
t32,mB25,p32768,ms50,ms1200,ms40,t32,mB30,p8192,ms300,ms300,ms170,8120959ac2aee0a3dc26438a58e920e9235238091fd3cb9004dbc9b1a7747268
t4,kB8,p4096,ms50,ms500,ms160,t4,kB1000,p128,ms150,ms40,ms120,247ca3c8828a31d0e230c0e6f84fd624f38f23f1db38f6eb9058c31cc3fec01c
t16,mB8,p16384,ms200,ms60,ms20,t32,mB25,p128,ms50,ms200,ms20,d9f06e96f6cd424a23f5b341b15266bfd23fdf7f69d5974cb231fe81708673cc
t16,mB8,p8192,ms200,ms100,ms20,t32,mB16,p32768,ms500,ms80,ms180,c84fcf326cc4485457463ac1d0b98a2f9eb2e06e52c79aecbf29d75874844ee1
t2,mB8,p57344,ms4000,ms1200,ms20,t3,kB25,p32,ms250,ms2000,ms160,11080e86ddc6c011b9fb3f369aa3cfcb78a70a418b0793455d306d57f37ed4a6
