dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t16,mB8,p57344,ms500,ms300,ms80,t6,kB8,p32768,ms4000,ms2400,ms60,19432273e76458bec5ed58bbfcb55593b9c6c1fe2bcaf3b830f6d517fe672042
t2,kB100,p16,ms500,ms80,ms100,t32,kB100,p49152,ms350,ms1200,ms10,ba1310cb917d0129708be32c3e9d206c0fa84f3453bbf15185eed96c5e956be3
t16,kB1000,p128,ms150,ms80,ms200,t6,kB25,p32768,ms400,ms2000,ms10,11c4d138b8dd9a0b9b1090ca3cbf420d5a38d64f1da26b7231262042443c4aa2
t16,kB1000,p16,ms250,ms2000,ms140,t6,mB25,p49152,ms2000,ms300,ms10,b9947b172dd1ad8800b8f36fcc4551a63a39def436ccb2f974384c3aaaeabc41
t3,mB30,p57344,ms250,ms100,ms200,t16,mB8,p49152,ms400,ms20,ms10,c686e8e7bc57e36f38dc2eda6e37788306bba6f3df81bfdb4f6daae7267227ca
t8,kB100,p65536,ms200,ms2400,ms200,t6,mB20,p128,ms400,ms300,ms160,6afce5332b8c368613ffb20e1a432b3ee57c54a235c0331631d3ea89b5de7fb2
t32,kB100,p8192,ms150,ms2000,ms40,t16,mB30,p128,ms50,ms1200,ms100,6a2ca87aeac255c00e63d7ff6702ec63a82c5a6ab665fe7af9446e85ad7976d8
t2,mB16,p32,ms150,ms2000,ms80,t16,kB25,p32768,ms50,ms1200,ms160,f67f53a490f45a08986fd86847fda549f82a5ecfdd2853af9d49778b36f6f830
t2,mB8,p40960,ms250,ms40,ms120,t16,kB25,p8192,ms2000,ms100,ms60,b986762a42b51419c5f44a5719e4c8de9bcd062fb5b91c482fd7c714619c4cd0
t2,mB25,p57344,ms1000,ms800,ms100,t6,kB6000,p32,ms250,ms20,ms100,7b2acf6ca1fb2f09f9003253b7db64300eb448b8c39a5601c324c447a770d70b
t8,mB25,p512,ms500,ms40,ms100,t8,mB8,p8192,ms2000,ms1200,ms40,0220158585b8987a2c29df464864fa89526c587cd4550ea3beddad36bc169700
t32,mB30,p16384,ms150,ms300,ms200,t4,mB25,p40960,ms150,ms1200,ms160,0241b4aa87f20d1e1a36596cc5d969ea3df6dbd275d5209eeac4003f212b13e5
t32,mB30,p32,ms2000,ms200,ms160,t4,mB40,p512,ms200,ms150,ms140,1692b73419fc142a7dcc533126fb830800a1c2b53a87d31b229b7f05c7790933
t6,kB100,p4096,ms100,ms100,ms40,t2,kB6000,p16,ms300,ms60,ms170,13a99328f6a375ab8120adc8877ade315b40dcc91c33fe9d9ccec186ad7bff74
t32,kB1000,p8192,ms250,ms80,ms200,t16,mB16,p40960,ms300,ms300,ms120,6f94bd79505112790ee5f472310c67ccf6606a4604f432fc5924d47e19e8fcbd
t8,mB16,p32768,ms800,ms150,ms40,t6,mB30,p32,ms1000,ms300,ms140,3996d4203c579e55381d3027cd24074229d47b00b20438af65220ae572fb0ac1
t6,kB1000,p32,ms150,ms1200,ms180,t8,kB100,p40960,ms1000,ms1200,ms20,1d2951fbbb9eab2a53d0b29191a6420397fb8bc16fa225ab87df739216e08ef6
t8,mB16,p16,ms400,ms2000,ms5,t2,mB25,p16,ms4000,ms300,ms10,64a3f01c20fdb01463df62cec6366d0b217168721baf9c70757b17a23b8814ab
t2,kB8,p40960,ms100,ms60,ms120,t6,mB25,p40960,ms300,ms300,ms10,7e217df2fc11b4d53c3f43e012235d5c8277f0dd2c7cb57abcf5bf1dde52b400
t32,kB8,p4096,ms1000,ms1200,ms80,t6,kB1000,p128,ms350,ms2400,ms5,9640c816e2c474e02d00e4380b8d26551fc11dc9038cd217482fefa15181730f
t32,kB100,p57344,ms2000,ms40,ms5,t6,kB25,p32,ms150,ms800,ms170,38cd3e6e2e8d0fc424bca704f85c6c3f9e2cbd1cd8276c0711e99fa8f3ac650d
t4,kB6000,p8192,ms350,ms150,ms5,t16,mB30,p4096,ms50,ms100,ms200,0d2423efb5a07bb2e951548b7ffa5161f47abca5b83452e76df71eeccc57fc9a
t4,mB25,p4096,ms50,ms80,ms80,t3,mB30,p16,ms50,ms800,ms200,f8dd4381ccce72c18253dbbdd6adf46fee6dc737803b37ff4880fc09e5de397e
