dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly,id
t3,mB25,p32768,ms1000,ms60,ms100,t4,kB25,p512,ms300,ms40,ms140,858aaf10b4a598f3e2bb4ad29a0d5005e1a112d770f9f12c8ee77a0d23abf490
t8,mB25,p512,ms2000,ms100,ms170,t4,kB25,p512,ms400,ms300,ms5,47ce60e2120b15f5088df1a5bd87d1cf50fba40ae964be985814b626cdf71a2a
t2,kB6000,p128,ms200,ms1200,ms200,t8,kB25,p16,ms400,ms150,ms40,f53927643acec7a2a9de6ea4235e7e4b91fd7ccd1d6eb6c5f20b2d7048f1c2e4
t3,kB1000,p512,ms50,ms150,ms120,t3,kB8,p128,ms50,ms1200,ms160,79d71efcedb157e99ef7d2cfb96c1a5356a03ff836f1e91b0791b2b7cfd7646c
t2,kB25,p512,ms150,ms800,ms160,t6,mB30,p49152,ms350,ms2400,ms120,57c602caf133d55497ada0cf5c0376b7b223b0f2bb7cb03aed10ee7184df42e9
t8,mB25,p128,ms150,ms20,ms120,t4,kB1000,p4096,ms350,ms150,ms60,8b5c531e83d66c888aa6998d77ad098c2d5feb2c0e6debd3e630dc7bf469cbc0
t8,kB1000,p8192,ms4000,ms1200,ms170,t4,kB8,p128,ms350,ms800,ms100,89702d9a01ff112a689476dd388a23e1c809252b58c292a63c7f7d319f288a79
t2,kB6000,p16,ms50,ms300,ms20,t32,kB1000,p128,ms350,ms60,ms20,114725d25856777d1a6da5bb76b9852e730c4d387e17843e0334cd56cd4fa317
t2,mB8,p128,ms150,ms500,ms100,t3,kB6000,p49152,ms100,ms60,ms200,f592d64cb5480a8e30361f0024ede3218aaf4858c6e0df616261e8019c79948c
t6,mB25,p32,ms300,ms80,ms120,t3,kB25,p512,ms250,ms500,ms170,58aee5531e492629e22092affa9873f7593e756a490fbf670f6db930bdc9d4a4
t32,kB8,p65536,ms300,ms300,ms100,t8,mB16,p65536,ms800,ms1200,ms20,ca3ca1fde77915dd0f56086047434688c38864c9ac746568f65f5f0d6d8aab8a
