start_time,stop_time,delay,jitter,dlMaxRetxThreshold,dlPollByte,dlPollPDU,dlTPollRetr,dlTProhib,dlTReassembly,ulMaxRetxThreshold,ulPollByte,ulPollPDU,ulTPollRetr,ulTProhib,ulTReassembly
2023-06-23T12:44:00Z,2023-06-23T12:44:10Z,5695008.28767123,1069497.26027397,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:44:10Z,2023-06-23T12:44:20Z,5705978.1884058,1072620.28985507,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:44:20Z,2023-06-23T12:44:30Z,5905982.8614415,1093462.38665014,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:44:30Z,2023-06-23T12:44:40Z,6301868.86842105,1298947.22222222,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:44:40Z,2023-06-23T12:44:50Z,5715997.78378378,1081800,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:44:50Z,2023-06-23T12:45:00Z,5701609.79166667,1077935.71428571,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:00Z,2023-06-23T12:45:10Z,5694470.19178082,1055422.22222222,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:10Z,2023-06-23T12:45:20Z,5690653.06944444,1075464.78873239,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:20Z,2023-06-23T12:45:30Z,5460095.0131579,1542205.26315789,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:30Z,2023-06-23T12:45:40Z,5445595.05333333,1568441.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:40Z,2023-06-23T12:45:50Z,5430931.01315789,1557417.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:45:50Z,2023-06-23T12:46:00Z,5424801.41891892,1550386.48648649,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:00Z,2023-06-23T12:46:10Z,5452076.81944444,1550074.64788732,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:10Z,2023-06-23T12:46:20Z,5433060.37333333,1542278.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:20Z,2023-06-23T12:46:30Z,5432273.4520548,1540420.83333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:30Z,2023-06-23T12:46:40Z,5440792.23287671,1544941.09589041,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:40Z,2023-06-23T12:46:50Z,5442821.02666667,1463808.10810811,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:46:50Z,2023-06-23T12:47:00Z,5544206.91780822,1485934.24657534,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:00Z,2023-06-23T12:47:10Z,5463694.05333333,1481987.83783784,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:10Z,2023-06-23T12:47:20Z,5470649.93333333,1407471.62162162,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:20Z,2023-06-23T12:47:30Z,5494849.95890411,1385945.20547945,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:30Z,2023-06-23T12:47:40Z,5500934.22222222,1387998.61111111,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:40Z,2023-06-23T12:47:50Z,5528193.26315789,1319701.35135135,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:47:50Z,2023-06-23T12:48:00Z,5525613.31506849,1309717.80821918,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:00Z,2023-06-23T12:48:10Z,5544275.2,1273513.69863014,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:10Z,2023-06-23T12:48:20Z,5543874.73611111,1230341.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:20Z,2023-06-23T12:48:30Z,5547378.76,1241137.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:30Z,2023-06-23T12:48:40Z,5563205.30666667,1236368,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:40Z,2023-06-23T12:48:50Z,5569597.90410959,1214100,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:48:50Z,2023-06-23T12:49:00Z,5596674.42666667,1125668.91891892,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:00Z,2023-06-23T12:49:10Z,5601040.78082192,1114097.26027397,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:10Z,2023-06-23T12:49:20Z,5602537.13513514,1056458.10810811,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:20Z,2023-06-23T12:49:30Z,5624366.94736842,1075600,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:30Z,2023-06-23T12:49:40Z,5617840.36486487,1043604.05405405,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:40Z,2023-06-23T12:49:50Z,5605652.61333333,1064130.1369863,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:49:50Z,2023-06-23T12:50:00Z,5600330.10958904,1050767.6056338,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:00Z,2023-06-23T12:50:10Z,5603915.63157895,1061342.46575342,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:10Z,2023-06-23T12:50:20Z,5593055.43055556,1061511.11111111,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:20Z,2023-06-23T12:50:30Z,5608215,1043264,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:30Z,2023-06-23T12:50:40Z,5596955.34666667,1052626.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:40Z,2023-06-23T12:50:50Z,5597283.2,1067625.35211268,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:50:50Z,2023-06-23T12:51:00Z,5619270.72972973,1063451.35135135,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:00Z,2023-06-23T12:51:10Z,5583137.04109589,1050784.93150685,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:10Z,2023-06-23T12:51:20Z,5605177.07894737,1047668.42105263,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:20Z,2023-06-23T12:51:30Z,5582157.88,1060195.94594595,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:30Z,2023-06-23T12:51:40Z,5601896.57534247,1037767.12328767,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:40Z,2023-06-23T12:51:50Z,5604887.57894737,1067644.59459459,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:51:50Z,2023-06-23T12:52:00Z,5590212.63888889,1047094.36619718,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:00Z,2023-06-23T12:52:10Z,5585422.14666667,1063549.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:10Z,2023-06-23T12:52:20Z,5594624.51351351,1064001.38888889,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:20Z,2023-06-23T12:52:30Z,5583999.71052632,1057175,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:30Z,2023-06-23T12:52:40Z,5588373.29333333,1048266.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:40Z,2023-06-23T12:52:50Z,5596746.70666667,1047817.56756757,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:52:50Z,2023-06-23T12:53:00Z,5579239.32432433,1056758.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:00Z,2023-06-23T12:53:10Z,5589210.78666667,1059742.46575342,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:10Z,2023-06-23T12:53:20Z,5522932.88,1163070.27027027,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:20Z,2023-06-23T12:53:30Z,5359005.85333333,1499690.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:30Z,2023-06-23T12:53:40Z,5381485,1486235.71428571,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:40Z,2023-06-23T12:53:50Z,5379900.39189189,1427977.02702703,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:53:50Z,2023-06-23T12:54:00Z,5377981.40540541,1417249.31506849,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:00Z,2023-06-23T12:54:10Z,5364690.87837838,1455962.5,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:10Z,2023-06-23T12:54:20Z,5388821.98684211,1426457.89473684,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:20Z,2023-06-23T12:54:30Z,5409279.08219178,1359461.11111111,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:30Z,2023-06-23T12:54:40Z,5436492.40277778,1309327.77777778,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:40Z,2023-06-23T12:54:50Z,5455822.64285714,1237621.42857143,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:54:50Z,2023-06-23T12:55:00Z,5478394.94666667,1234360.81081081,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:00Z,2023-06-23T12:55:10Z,5468279.29333333,1203270.27027027,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:10Z,2023-06-23T12:55:20Z,5518283.72,1189237.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:20Z,2023-06-23T12:55:30Z,5488475.36,1193052.7027027,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:30Z,2023-06-23T12:55:40Z,5516010.17567568,1174095.94594595,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:40Z,2023-06-23T12:55:50Z,5533655.87012987,1098294.80519481,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:55:50Z,2023-06-23T12:56:00Z,5517278.74324324,1116631.08108108,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:00Z,2023-06-23T12:56:10Z,5531649.61333333,1091289.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:10Z,2023-06-23T12:56:20Z,5534441.47368421,1082557.89473684,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:20Z,2023-06-23T12:56:30Z,5540377.36,1092286.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:30Z,2023-06-23T12:56:40Z,5547290.2972973,1056359.45945946,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:40Z,2023-06-23T12:56:50Z,5546117.42465753,1087209.5890411,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:56:50Z,2023-06-23T12:57:00Z,5525930.60810811,1056947.2972973,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:00Z,2023-06-23T12:57:10Z,5557736.93243243,1072358.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:10Z,2023-06-23T12:57:20Z,5529908.50684932,1056365.27777778,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:20Z,2023-06-23T12:57:30Z,5547616.53164557,1053171.42857143,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:30Z,2023-06-23T12:57:40Z,5551823.16216216,1078189.18918919,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:40Z,2023-06-23T12:57:50Z,5522257.98666667,1085834.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:57:50Z,2023-06-23T12:58:00Z,5526285.7260274,1065360.56338028,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:00Z,2023-06-23T12:58:10Z,5595191.1038961,1074805.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:10Z,2023-06-23T12:58:20Z,5538553.54054054,1076509.5890411,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:20Z,2023-06-23T12:58:30Z,5508279.56410256,1039011.68831169,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:30Z,2023-06-23T12:58:40Z,5524264.7631579,1051889.47368421,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:40Z,2023-06-23T12:58:50Z,5524157.79452055,1061612.5,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:58:50Z,2023-06-23T12:59:00Z,5514273.15492958,1055304.22535211,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:00Z,2023-06-23T12:59:10Z,5532519.13157895,1051412.16216216,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:10Z,2023-06-23T12:59:20Z,5519051.96,1058664,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:20Z,2023-06-23T12:59:30Z,5501640.75675676,1050884.72222222,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:30Z,2023-06-23T12:59:40Z,5517345.52,1045066.21621622,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:40Z,2023-06-23T12:59:50Z,5592790.53333333,1112513.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T12:59:50Z,2023-06-23T13:00:00Z,5506850.98666667,1025368.91891892,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:00Z,2023-06-23T13:00:10Z,5507467.11428571,1027963.76811594,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:10Z,2023-06-23T13:00:20Z,5515971.75675676,975766.216216216,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:20Z,2023-06-23T13:00:30Z,5523294.27272727,965511.688311688,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:30Z,2023-06-23T13:00:40Z,5550116.31168831,935230.263157895,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:40Z,2023-06-23T13:00:50Z,5550295.89189189,935767.567567568,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:00:50Z,2023-06-23T13:01:00Z,5561944.96103896,940015.789473684,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:00Z,2023-06-23T13:01:10Z,5481700.50649351,1066688.31168831,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:10Z,2023-06-23T13:01:20Z,5361077.14285714,1290485.71428571,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:20Z,2023-06-23T13:01:30Z,5370260.53333333,1269175.34246575,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:30Z,2023-06-23T13:01:40Z,5380655.30263158,1229930.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:40Z,2023-06-23T13:01:50Z,5368543.3164557,1249080.76923077,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:01:50Z,2023-06-23T13:02:00Z,5400149.25,1187898.64864865,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:00Z,2023-06-23T13:02:10Z,5385135.22077922,1203210.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:10Z,2023-06-23T13:02:20Z,5414684.46666667,1174363.01369863,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:20Z,2023-06-23T13:02:30Z,5428838.10666667,1109528,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:30Z,2023-06-23T13:02:40Z,5437702.69736842,1120896.05263158,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:40Z,2023-06-23T13:02:50Z,5466138.68421053,1071684,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:02:50Z,2023-06-23T13:03:00Z,5452642.80263158,1046894.59459459,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:00Z,2023-06-23T13:03:10Z,5458403.25675676,1064112.16216216,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:10Z,2023-06-23T13:03:20Z,5464251.64935065,1049538.96103896,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:20Z,2023-06-23T13:03:30Z,5452686.58441559,1070663.63636364,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:30Z,2023-06-23T13:03:40Z,5445968.42857143,1048154.54545455,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:40Z,2023-06-23T13:03:50Z,5463088.89473684,1037912,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:03:50Z,2023-06-23T13:04:00Z,5441623.84,1044666.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:00Z,2023-06-23T13:04:10Z,5452910.05405406,1068201.36986301,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:10Z,2023-06-23T13:04:20Z,5457701.26027397,1072646.57534247,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:20Z,2023-06-23T13:04:30Z,5444116.58108108,1034256.16438356,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:30Z,2023-06-23T13:04:40Z,5441807.58666667,1060832,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:40Z,2023-06-23T13:04:50Z,5431501.72972973,1055828.37837838,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:04:50Z,2023-06-23T13:05:00Z,5427889.2027027,1051870.27027027,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:00Z,2023-06-23T13:05:10Z,5437860.91428571,1081942.85714286,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:10Z,2023-06-23T13:05:20Z,5432675.55555556,1080222.22222222,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:20Z,2023-06-23T13:05:30Z,5433594.88157895,1067985.52631579,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:30Z,2023-06-23T13:05:40Z,5422830.62162162,1042134.24657534,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:40Z,2023-06-23T13:05:50Z,5408369.37333333,1020654.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:05:50Z,2023-06-23T13:06:00Z,5423695,1047956,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:00Z,2023-06-23T13:06:10Z,5414137.04109589,1054587.5,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:10Z,2023-06-23T13:06:20Z,5433499.05263158,1029449.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:20Z,2023-06-23T13:06:30Z,5410297.41333333,1037228,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:30Z,2023-06-23T13:06:40Z,5407116.61038961,1071719.48051948,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:40Z,2023-06-23T13:06:50Z,5427623.94594595,1039631.08108108,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:06:50Z,2023-06-23T13:07:00Z,5446994.16883117,1002963.51351351,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:00Z,2023-06-23T13:07:10Z,5470059.85135135,948736.486486487,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:10Z,2023-06-23T13:07:20Z,5457294.38961039,863640.25974026,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:20Z,2023-06-23T13:07:30Z,5520376.74666667,768018.918918919,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:30Z,2023-06-23T13:07:40Z,5531311.22368421,724540.540540541,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:40Z,2023-06-23T13:07:50Z,5544939.68421053,696840,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:07:50Z,2023-06-23T13:08:00Z,5552390.83783784,679172.222222222,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:00Z,2023-06-23T13:08:10Z,5551838.16,671742.666666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:10Z,2023-06-23T13:08:20Z,5564802.01315789,664836,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:20Z,2023-06-23T13:08:30Z,5581593.55844156,618564.935064935,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:30Z,2023-06-23T13:08:40Z,5605925.77631579,603940.789473684,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:40Z,2023-06-23T13:08:50Z,5553299.44594595,679268.918918919,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:08:50Z,2023-06-23T13:09:00Z,5359623.54054054,1081912.16216216,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:09:00Z,2023-06-23T13:09:10Z,5358929.80821918,1050648.61111111,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:09:10Z,2023-06-23T13:09:20Z,5342418.05333333,1082714.66666667,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
2023-06-23T13:09:20Z,2023-06-23T13:09:30Z,5363665.27631579,1069505.33333333,t6,kB8,p24576,ms500,ms800,ms170,t2,mB14,p256,ms120,ms250,ms55
